service_id,date,exception_type
7,20160408,1
7,20160411,1
7,20160412,1
7,20160413,1
7,20160414,1
7,20160418,1
7,20160419,1
7,20160420,1
7,20160421,1
7,20160422,1
7,20160425,1
7,20160426,1
7,20160427,1
7,20160428,1
7,20160429,1
7,20160502,1
7,20160503,1
7,20160504,1
7,20160505,1
7,20160509,1
7,20160510,1
7,20160511,1
7,20160512,1
7,20160513,1
7,20160516,1
7,20160517,1
7,20160518,1
7,20160519,1
7,20160520,1
7,20160524,1
7,20160525,1
7,20160526,1
7,20160527,1
7,20160531,1
7,20160601,1
7,20160602,1
7,20160603,1
7,20160606,1
7,20160607,1
7,20160608,1
7,20160609,1
7,20160610,1
7,20160613,1
7,20160614,1
7,20160615,1
7,20160616,1
8,20160822,1
8,20160823,1
8,20160824,1
8,20160825,1
8,20160826,1
8,20160829,1
8,20160830,1
8,20160831,1
8,20160901,1
8,20160902,1
8,20160906,1
8,20160907,1
8,20160908,1
8,20160909,1
8,20160912,1
8,20160913,1
8,20160914,1
8,20160915,1
8,20160916,1
8,20160919,1
8,20160920,1
8,20160921,1
8,20160922,1
8,20160923,1
8,20160926,1
8,20160927,1
8,20160928,1
9,20160406,1
9,20160413,1
9,20160420,1
9,20160427,1
9,20160504,1
9,20160511,1
9,20160518,1
9,20160525,1
9,20160601,1
9,20160608,1
9,20160615,1
9,20160622,1
9,20160629,1
9,20160706,1
9,20160713,1
9,20160720,1
9,20160727,1
9,20160803,1
9,20160810,1
9,20160817,1
9,20160824,1
9,20160831,1
9,20160907,1
9,20160914,1
9,20160921,1
9,20160928,1
10,20160404,1
10,20160405,1
10,20160407,1
10,20160408,1
10,20160411,1
10,20160412,1
10,20160414,1
10,20160415,1
10,20160418,1
10,20160419,1
10,20160421,1
10,20160422,1
10,20160425,1
10,20160426,1
10,20160428,1
10,20160429,1
10,20160502,1
10,20160503,1
10,20160505,1
10,20160506,1
10,20160509,1
10,20160510,1
10,20160512,1
10,20160513,1
10,20160516,1
10,20160517,1
10,20160519,1
10,20160520,1
10,20160523,1
10,20160524,1
10,20160526,1
10,20160527,1
10,20160531,1
10,20160602,1
10,20160603,1
10,20160606,1
10,20160607,1
10,20160609,1
10,20160610,1
10,20160613,1
10,20160614,1
10,20160616,1
10,20160617,1
10,20160620,1
10,20160621,1
10,20160623,1
10,20160624,1
10,20160627,1
10,20160628,1
10,20160630,1
10,20160701,1
10,20160705,1
10,20160707,1
10,20160708,1
10,20160711,1
10,20160712,1
10,20160714,1
10,20160715,1
10,20160718,1
10,20160719,1
10,20160721,1
10,20160722,1
10,20160725,1
10,20160726,1
10,20160728,1
10,20160729,1
10,20160801,1
10,20160802,1
10,20160804,1
10,20160805,1
10,20160808,1
10,20160809,1
10,20160811,1
10,20160812,1
10,20160815,1
10,20160816,1
10,20160818,1
10,20160819,1
10,20160822,1
10,20160823,1
10,20160825,1
10,20160826,1
10,20160829,1
10,20160830,1
10,20160901,1
10,20160902,1
10,20160906,1
10,20160908,1
10,20160909,1
10,20160912,1
10,20160913,1
10,20160915,1
10,20160916,1
10,20160919,1
10,20160920,1
10,20160922,1
10,20160923,1
10,20160926,1
10,20160927,1
11,20160528,1
11,20160530,1
11,20160604,1
11,20160611,1
11,20160618,1
11,20160625,1
11,20160702,1
11,20160709,1
11,20160716,1
11,20160723,1
11,20160730,1
11,20160806,1
11,20160813,1
11,20160820,1
11,20160827,1
11,20160903,1
11,20160905,1
12,20160529,1
12,20160605,1
12,20160612,1
12,20160619,1
12,20160626,1
12,20160703,1
12,20160704,1
12,20160710,1
12,20160717,1
12,20160724,1
12,20160731,1
12,20160807,1
12,20160814,1
12,20160821,1
12,20160828,1
12,20160904,1
13,20160531,1
13,20160601,1
13,20160602,1
13,20160603,1
13,20160606,1
13,20160607,1
13,20160608,1
13,20160609,1
13,20160610,1
13,20160613,1
13,20160614,1
13,20160615,1
13,20160616,1
13,20160617,1
13,20160620,1
13,20160621,1
13,20160622,1
13,20160623,1
13,20160624,1
13,20160627,1
13,20160628,1
13,20160629,1
13,20160630,1
13,20160701,1
13,20160705,1
13,20160706,1
13,20160707,1
13,20160708,1
13,20160711,1
13,20160712,1
13,20160713,1
13,20160714,1
13,20160715,1
13,20160718,1
13,20160719,1
13,20160720,1
13,20160721,1
13,20160722,1
13,20160725,1
13,20160726,1
13,20160727,1
13,20160728,1
13,20160729,1
13,20160801,1
13,20160802,1
13,20160803,1
13,20160804,1
13,20160805,1
13,20160808,1
13,20160809,1
13,20160810,1
13,20160811,1
13,20160812,1
13,20160815,1
13,20160816,1
13,20160817,1
13,20160818,1
13,20160819,1
13,20160822,1
13,20160823,1
13,20160824,1
13,20160825,1
13,20160826,1
13,20160829,1
13,20160830,1
13,20160831,1
13,20160901,1
13,20160902,1
14,20160403,1
14,20160410,1
14,20160417,1
14,20160424,1
14,20160501,1
14,20160508,1
14,20160515,1
14,20160522,1
14,20160529,1
14,20160605,1
14,20160612,1
14,20160619,1
14,20160626,1
14,20160703,1
14,20160710,1
14,20160717,1
14,20160724,1
14,20160731,1
14,20160807,1
14,20160814,1
14,20160821,1
14,20160828,1
14,20160904,1
14,20160911,1
14,20160918,1
14,20160925,1
15,20160404,1
15,20160405,1
15,20160406,1
15,20160407,1
15,20160411,1
15,20160412,1
15,20160413,1
15,20160414,1
15,20160418,1
15,20160419,1
15,20160420,1
15,20160421,1
15,20160425,1
15,20160426,1
15,20160427,1
15,20160428,1
15,20160502,1
15,20160503,1
15,20160504,1
15,20160505,1
15,20160509,1
15,20160510,1
15,20160511,1
15,20160512,1
15,20160516,1
15,20160517,1
15,20160518,1
15,20160519,1
15,20160523,1
15,20160524,1
15,20160525,1
15,20160526,1
15,20160530,1
15,20160531,1
15,20160601,1
15,20160602,1
15,20160606,1
15,20160607,1
15,20160608,1
15,20160609,1
15,20160613,1
15,20160614,1
15,20160615,1
15,20160616,1
15,20160620,1
15,20160621,1
15,20160622,1
15,20160623,1
15,20160627,1
15,20160628,1
15,20160629,1
15,20160630,1
15,20160704,1
15,20160705,1
15,20160706,1
15,20160707,1
15,20160711,1
15,20160712,1
15,20160713,1
15,20160714,1
15,20160718,1
15,20160719,1
15,20160720,1
15,20160721,1
15,20160725,1
15,20160726,1
15,20160727,1
15,20160728,1
15,20160801,1
15,20160802,1
15,20160803,1
15,20160804,1
15,20160808,1
15,20160809,1
15,20160810,1
15,20160811,1
15,20160815,1
15,20160816,1
15,20160817,1
15,20160818,1
15,20160822,1
15,20160823,1
15,20160824,1
15,20160825,1
15,20160829,1
15,20160830,1
15,20160831,1
15,20160901,1
15,20160905,1
15,20160906,1
15,20160907,1
15,20160908,1
15,20160912,1
15,20160913,1
15,20160914,1
15,20160915,1
15,20160919,1
15,20160920,1
15,20160921,1
15,20160922,1
15,20160926,1
15,20160927,1
15,20160928,1
16,20160404,1
16,20160405,1
16,20160406,1
16,20160407,1
16,20160408,1
16,20160411,1
16,20160412,1
16,20160413,1
16,20160414,1
16,20160415,1
16,20160418,1
16,20160419,1
16,20160420,1
16,20160421,1
16,20160422,1
16,20160425,1
16,20160426,1
16,20160427,1
16,20160428,1
16,20160429,1
16,20160502,1
16,20160503,1
16,20160504,1
16,20160505,1
16,20160506,1
16,20160509,1
16,20160510,1
16,20160511,1
16,20160512,1
16,20160513,1
16,20160516,1
16,20160517,1
16,20160518,1
16,20160519,1
16,20160520,1
16,20160523,1
16,20160524,1
16,20160525,1
16,20160526,1
16,20160527,1
16,20160530,1
16,20160531,1
16,20160601,1
16,20160602,1
16,20160603,1
16,20160606,1
16,20160607,1
16,20160608,1
16,20160609,1
